@RELATION langid

@ATTRIBUTE eng_dict NUMERIC
@ATTRIBUTE beng_dict NUMERIC
@ATTRIBUTE ngram {'B','E'}
@ATTRIBUTE beng_surr REAL
@ATTRIBUTE real_tag {'B','E'}

@DATA
1,1,E,0.5,E
1,1,E,0.3333333333333333,E
0,1,B,0.0,B
1,0,E,0.5,E
1,1,E,0.5,E
0,1,E,0.0,E
1,0,E,0.25,E
1,1,E,0.3333333333333333,E
1,0,E,0.0,E
0,1,B,0.0,B
1,1,E,0.5,B
0,1,B,0.5,B
0,1,E,1.0,B
1,1,B,0.6666666666666666,E
1,1,B,0.75,B
0,0,E,0.75,E
0,1,B,0.6666666666666666,B
0,1,B,0.5,B
1,1,E,0.5,E
1,1,B,0.0,B
1,0,E,0.25,E
1,1,E,0.6666666666666666,B
0,1,E,0.0,B
0,1,E,1.0,E
0,0,B,1.0,B
0,0,B,0.75,B
0,1,E,1.0,B
0,1,E,1.0,B
1,1,B,1.0,E
0,1,B,0.6666666666666666,B
0,1,B,0.5,B
1,1,E,0.6666666666666666,E
1,1,E,0.5,E
1,1,E,0.5,B
0,1,B,0.3333333333333333,B
1,1,E,0.5,E
1,1,B,0.25,E
1,1,E,0.25,E
0,0,E,0.25,E
1,0,B,0.3333333333333333,E
0,1,E,0.0,B
1,1,E,1.0,B
0,1,B,0.6666666666666666,B
0,1,B,0.5,B
0,1,B,1.0,B
0,1,B,1.0,B
1,1,E,0.0,E
1,1,E,0.3333333333333333,B
0,0,E,0.5,B
1,1,B,0.5,B
0,1,B,0.5,B
0,1,B,0.75,B
1,1,E,0.75,E
1,1,B,0.3333333333333333,E
1,1,E,0.5,E
1,1,E,0.0,E
1,1,E,0.3333333333333333,E
1,1,E,0.5,B
0,1,B,0.25,B
0,1,B,0.6666666666666666,B
0,1,B,1.0,B
1,1,B,1.0,E
0,1,E,1.0,B
0,1,B,0.75,B
0,1,B,0.75,B
1,0,E,0.75,E
0,1,B,0.5,B
1,0,E,0.75,E
0,0,B,0.5,B
0,1,B,0.5,B
1,1,E,0.75,E
1,1,B,0.25,B
1,0,E,0.5,E
1,1,E,0.75,B
0,1,B,0.5,B
0,1,B,0.5,B
0,1,E,1.0,B
0,1,B,1.0,B
0,1,E,0.5,B
1,0,E,1.0,E
0,0,B,0.5,E
1,1,B,0.5,E
1,0,E,1.0,E
0,1,B,0.75,B
0,0,B,0.75,B
0,1,B,0.75,B
0,1,B,0.75,B
1,1,E,1.0,B
0,1,B,0.75,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,E,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
1,1,E,0.5,E
1,0,E,0.6666666666666666,E
0,1,B,0.5,B
0,1,B,0.5,B
0,1,E,0.75,B
1,0,E,1.0,E
1,1,B,0.75,B
0,1,E,0.75,B
0,1,B,0.75,B
1,1,B,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
0,0,B,1.0,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,E,0.5,B
0,0,E,1.0,B
1,1,B,0.5,B
0,0,B,0.6666666666666666,B
0,1,E,1.0,B
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.3333333333333333,E
1,1,B,0.0,E
1,0,E,0.5,E
1,1,B,0.0,E
1,1,E,0.5,E
1,0,E,0.5,E
1,1,B,0.0,B
0,0,E,0.6666666666666666,B
0,1,B,0.5,B
0,1,B,1.0,B
0,1,B,0.6666666666666666,B
0,1,B,0.75,B
1,0,E,1.0,E
0,1,B,0.5,B
0,0,B,0.5,B
1,0,B,1.0,E
0,1,E,0.75,B
0,0,B,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,E,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,B,0.75,B
0,1,B,0.75,B
1,0,E,1.0,E
0,1,B,0.75,B
0,1,B,0.75,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,E,1.0,B
1,0,E,0.5,E
1,1,B,0.0,B
0,0,B,0.5,B
1,1,E,1.0,E
0,1,B,0.3333333333333333,B
0,1,B,0.3333333333333333,B
0,0,E,1.0,B
0,1,E,1.0,B
0,1,E,0.6666666666666666,B
0,1,B,0.75,B
0,0,E,1.0,B
1,1,B,0.75,B
0,1,B,0.5,B
0,1,E,0.5,B
1,1,E,0.75,B
1,0,E,0.75,E
1,1,B,0.5,B
0,1,B,0.75,B
0,1,B,0.75,B
0,0,B,0.75,B
1,0,E,1.0,E
1,1,B,0.75,B
0,1,E,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
1,1,B,1.0,B
0,1,B,0.75,E
0,1,E,0.5,B
1,0,E,0.75,E
1,1,E,0.75,B
0,1,B,0.25,B
0,1,B,0.5,B
1,0,E,1.0,E
1,1,B,0.75,B
0,1,B,0.75,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
1,1,B,1.0,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,E,1.0,B
0,1,B,1.0,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
1,1,E,1.0,B
0,1,B,0.3333333333333333,B
0,0,B,0.5,B
1,0,E,1.0,E
1,1,B,0.75,B
0,1,B,0.75,B
0,1,B,1.0,B
0,1,B,1.0,B
0,1,E,1.0,B
1,1,B,1.0,B
0,1,E,1.0,B
0,1,E,0.75,B
1,1,B,1.0,B
0,1,B,1.0,B
1,0,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
0,1,E,1.0,B
0,1,B,1.0,B
0,0,B,0.75,B
0,1,B,1.0,B
1,1,B,1.0,B
0,1,B,0.5,B
1,1,E,0.6666666666666666,B
0,1,B,0.6666666666666666,B
0,0,B,0.5,B
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,1.0,E
1,1,B,0.6666666666666666,E
0,1,B,0.5,B
0,1,B,1.0,B
0,1,E,1.0,B
1,1,E,0.5,E
1,1,B,0.3333333333333333,E
1,1,E,0.5,E
1,1,B,0.25,E
1,0,E,0.3333333333333333,E
1,0,E,0.5,E
0,1,E,1.0,B
0,1,B,0.6666666666666666,B
0,1,B,1.0,B
0,1,B,1.0,B
1,1,E,0.0,E
0,1,E,0.5,B
1,0,E,0.6666666666666666,E
1,1,B,0.25,B
1,0,E,0.6666666666666666,E
0,1,B,0.5,B
1,1,E,0.5,E
1,1,B,0.0,E
0,1,E,0.5,E
0,1,E,0.5,E
1,1,E,1.0,E
1,1,B,0.5,E
0,1,B,0.6666666666666666,B
0,1,B,1.0,B
1,1,E,1.0,E
1,1,B,0.6666666666666666,E
0,1,B,0.5,B
0,1,B,0.5,B
1,0,E,1.0,E
0,1,E,0.5,B
1,0,E,0.5,E
1,0,E,0.3333333333333333,E
0,1,B,0.3333333333333333,B
0,1,B,0.5,B
0,0,B,0.0,E
0,1,B,0.5,B
0,1,B,0.3333333333333333,B
1,1,E,0.5,E
1,0,E,0.25,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,1,E,0.25,E
1,1,E,0.25,B
0,1,E,0.0,B
1,1,E,0.25,E
1,1,E,0.25,E
1,0,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.3333333333333333,E
0,1,E,0.0,E
1,1,E,0.0,E
1,1,B,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.3333333333333333,E
1,1,B,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.5,E
1,1,E,0.3333333333333333,E
0,1,E,0.0,E
1,1,E,0.25,B
1,1,E,0.6666666666666666,E
0,1,B,0.0,B
1,1,E,0.0,B
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,0,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
0,1,B,0.0,B
0,1,B,0.5,B
1,0,E,0.6666666666666666,E
0,1,B,0.6666666666666666,B
0,1,E,0.5,B
1,1,E,1.0,E
1,1,B,0.3333333333333333,E
0,1,B,0.3333333333333333,B
1,1,E,1.0,B
0,0,B,0.0,B
1,1,E,0.6666666666666666,E
1,0,E,0.5,E
0,1,B,0.3333333333333333,E
0,1,B,0.5,B
1,1,E,0.0,E
1,1,E,0.3333333333333333,E
1,1,E,0.5,E
1,1,B,0.25,E
0,1,E,0.25,B
1,1,E,0.6666666666666666,B
1,1,E,0.5,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.0,E
1,0,E,0.0,E
1,1,E,0.25,E
0,0,E,0.5,B
0,1,B,0.25,B
0,1,E,0.25,B
1,0,B,1.0,E
0,1,B,0.5,B
% 
% 
% 
